[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:40][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:41][ WARNING ] EVENT 2!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 15:52:41][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:03] Launching "DronsEngine Game"...
[20.10.2024 | 16:27:04] Initialization...
[20.10.2024 | 16:27:04] Starting Scene state...
[20.10.2024 | 16:27:04] Start game loop...
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:07][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:08][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:08][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:08][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:08][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:09][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:09][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:09][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:09][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:09][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:09][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][  ERROR  ] EVENT 1!
[20.10.2024 | 16:27:10][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:11][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:11][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:11][ WARNING ] EVENT 2!
[20.10.2024 | 16:27:11][ WARNING ] EVENT 2!
